F_10: 0,8,7,4,2,10,0|3,9,6,-1,5,1|2,4,5,-1,3,4|4,5,6,-1,4,5
F_20: 0,8,7,16,1,5,4,9,17,19,20,0|15,14,18,10,2,13,-1,6,3,11,12|2,4,5,6,8,10,-1,3,5,7,8|4,5,6,8,9,11,-1,5,7,8,9
F_50: 0,40,7,50,25,14,39,30,15,5,17,46,4,24,47,3,27,8,43,29,49,6,22,41,18,11,12,9,0|20,28,23,31,42,13,33,21,1,16,32,44,36,38,35,2,-1,48,26,10,37,34,19,45|3,5,7,8,11,12,14,16,18,20,21,22,23,24,25,27,-1,6,12,18,20,21,23,24|4,7,8,10,12,14,16,17,20,21,22,23,24,25,26,28,-1,7,13,20,21,23,24,25
F_100: 0,33,25,85,46,77,30,2,27,16,10,20,34,21,75,76,29,24,23,97,63,6,64,48,42,38,37,53,22,74,15,72,62,67,14,68,65,17,49,45,19,55,70,4,66,93,82,52,56,3,87,39,40,51,100,44,71,69,47,11,94,86,92,58,0|12,99,60,35,96,91,18,28,90,79,5,89,32,61,57,59,36,88,31,13,84,78,80,95,98,8,26,-1,81,83,73,9,41,1,50,7,43,54|4,6,7,9,12,13,14,18,19,20,21,23,29,32,35,37,39,42,43,45,48,49,50,53,58,60,63,-1,5,6,13,19,22,33,37,40,44,55|6,7,8,12,13,14,15,19,20,21,23,25,31,34,36,38,42,43,45,46,49,50,52,56,59,61,64,-1,6,7,14,20,25,35,38,43,47,57
R_10: 0,2,1,4,5,0|10,9,7,8,3,-1,6|1,2,3,4,5,-1,2|2,3,4,5,6,-1,6
R_20: 0,17,9,4,1,6,15,7,10,19,0|3,2,11,18,14,16,8,-1,20,12,5,13|1,2,3,4,5,7,8,-1,1,2,4,9|2,3,4,5,6,8,11,-1,2,4,5,10
R_50: 0,5,30,31,39,34,32,25,21,7,47,42,9,3,27,23,48,14,1,29,6,44,41,18,11,35,4,24,0|15,16,40,20,46,13,10,43,22,49,36,38,26,-1,28,37,50,12,17,2,8,19,45,33|1,5,8,10,11,12,17,18,20,21,22,24,25,-1,1,6,8,9,10,13,18,19,22,25|2,7,10,11,12,14,18,20,21,22,23,25,28,-1,4,7,9,10,13,14,19,22,23,28
R_100: 0,7,64,6,30,83,56,63,5,91,29,89,16,14,43,87,61,25,67,100,20,92,23,31,70,69,76,34,80,65,17,41,57,59,44,45,96,28,53,94,46,22,60,50,90,84,51,77,3,93,15,75,95,1,68,81,73,66,74,19,10,0|24,82,58,37,27,71,49,79,85,21,9,98,8,33,12,86,62,32,97,88,18,99,36,48,55,11,42,-1,47,26,40,72,39,4,38,54,2,35,13,78,52|1,3,4,6,9,13,14,17,19,20,21,23,25,27,33,36,39,42,44,45,49,50,54,55,56,58,60,-1,1,7,13,15,20,23,28,40,42,46,49,50,57|2,4,6,9,10,14,17,19,20,21,22,24,26,29,36,37,41,43,45,47,50,53,55,56,58,59,61,-1,3,10,14,17,21,24,29,41,44,47,50,53,59
